iter	Passed	Remaining
1533	64391	44746
1534	64434	44705
1535	64480	44666
1536	64514	44618
1537	64555	44576
1538	64599	44535
1539	64641	44493
1540	64687	44454
1541	64734	44415
1542	64778	44374
1543	64817	44331
1544	64864	44292
1545	64905	44249
1546	64941	44204
1547	64980	44159
1548	65017	44114
1549	65055	44069
1550	65094	44026
1551	65139	43985
1552	65187	43947
1553	65229	43905
1554	65276	43867
1555	65325	43830
1556	65360	43783
1557	65401	43741
1558	65449	43702
1559	65488	43658
1560	65526	43614
1561	65571	43574
1562	65619	43536
1563	65663	43495
1564	65704	43453
1565	65745	43410
1566	65789	43369
1567	65834	43329
1568	65874	43286
1569	65921	43247
1570	65955	43200
1571	65997	43158
1572	66041	43117
1573	66086	43078
1574	66121	43031
1575	66158	42986
1576	66200	42943
1577	66241	42901
1578	66283	42859
1579	66318	42813
1580	66361	42771
1581	66396	42725
1582	66446	42688
1583	66490	42647
1584	66536	42608
1585	66579	42567
1586	66618	42523
1587	66654	42477
1588	66700	42438
1589	66735	42391
1590	66776	42348
1591	66824	42310
1592	66868	42270
1593	66910	42228
1594	66953	42186
1595	66997	42146
1596	67043	42106
1597	67080	42061
1598	67121	42018
1599	67155	41972
1600	67196	41929
1601	67235	41885
1602	67280	41845
1603	67324	41805
1604	67364	41761
1605	67416	41725
1606	67468	41690
1607	67513	41650
1608	67550	41605
1609	67588	41560
1610	67627	41517
1611	67663	41471
1612	67712	41433
1613	67756	41392
1614	67795	41348
1615	67836	41306
1616	67877	41263
1617	67922	41223
1618	67963	41180
1619	67998	41134
1620	68032	41088
1621	68066	41041
1622	68096	40992
1623	68140	40951
1624	68182	40909
1625	68219	40864
1626	68259	40821
1627	68302	40780
1628	68344	40737
1629	68385	40695
1630	68420	40649
1631	68463	40608
1632	68499	40562
1633	68540	40520
1634	68573	40473
1635	68607	40426
1636	68652	40386
1637	68693	40344
1638	68736	40302
1639	68774	40258
1640	68810	40212
1641	68857	40173
1642	68897	40130
1643	68935	40086
1644	68977	40044
1645	69007	39995
1646	69048	39953
1647	69078	39904
1648	69124	39865
1649	69164	39821
1650	69206	39780
1651	69244	39736
1652	69280	39690
1653	69316	39645
1654	69350	39598
1655	69387	39554
1656	69423	39509
1657	69463	39465
1658	69497	39419
1659	69541	39378
1660	69578	39334
1661	69625	39295
1662	69662	39250
